INDEX,CUSTOMER_ID,PROD_ECOLOGICAL,PROD_MEAT_SUBST,PROD_FAIRTRADE,PROD_REFORM,GREEN_ENERGY,FREQUENTING_NATURE,ENVIR_CHARITY,NATURE_CHARITY,AGE_GROUP,INCOME_LEVEL,EDUCATION,TOTAL_USAGE_YEAR1,TOTAL_USAGE_YEAR2,ENERGY_SAVING,COST_TO_SERVE,NUMBER_OF_QUESTIONS_ANSWERED_YES,NUMBER_OF_QUESTIONS_ANSWERED_CAT,LIFESTYLE_CLUSTER,ENGAGEMENT_CLUSTER,HAS_EV,HAS_PV,RATE_ID,RATE_DESCRIPTION,OFFER_ID,OFFER_DESC
0,1,0,0,0,0,0,0,0,0,<20,0-40000,Less than 9th grade,6262.868676,7255.823115,15.85462654,70.1778,0,ONE OR LESS,1,OTHER,0,0,8,Fixed Price 3kW,NONE,
1,2,0,0,1,0,1,1,0,0,<20,55000-75000,Less than 9th grade,14431.07822,16467.93766,14.1143954,181.145544,3,TWO OR THREE,1,CLUSTER1,0,0,12,Peak/Off-Peak 36kW,NONE,
2,3,0,0,0,0,0,0,0,0,<20,0-40000,Less than 9th grade,17638.66451,20362.38591,15.44176657,191.792342,0,ONE OR LESS,1,CLUSTER1,0,0,16,Peak/Off-Peak 12kW,NONE,
3,4,0,0,0,0,0,0,0,0,<20,0-40000,Less than 9th grade,15470.40762,17482.98589,13.00921294,185.796028,0,ONE OR LESS,1,CLUSTER1,0,1,15,Fixed Price 24kW,NONE,
4,5,0,0,0,0,1,0,0,0,<20,40000-55000,Less than 9th grade,12228.93428,10882.64904,-11.00901525,165.227495,1,ONE OR LESS,1,CLUSTER1,0,0,5,Fixed Price 9kW,NONE,
5,6,0,0,1,0,1,0,0,0,<20,55000-75000,Less than 9th grade,14795.50815,15248.11983,3.059115479,182.944,2,TWO OR THREE,1,CLUSTER1,0,1,1,Fixed Price 6kW,NONE,
6,7,0,0,0,0,0,0,0,0,<20,0-40000,Less than 9th grade,8613.86901,12710.07173,47.5535757,113.483844,0,ONE OR LESS,1,CLUSTER3,0,0,15,Fixed Price 24kW,NONE,
7,8,0,1,0,0,1,1,0,0,<20,40000-55000,Less than 9th grade,6344.239036,5777.667472,-8.930488917,71.500275,3,TWO OR THREE,1,OTHER,0,0,8,Fixed Price 3kW,NONE,
8,9,0,0,0,0,0,0,0,0,<20,0-40000,Less than 9th grade,9029.905463,9538.184066,5.628836371,121.064803,0,ONE OR LESS,1,OTHER,0,0,4,Fixed Price 30kW,NONE,
9,10,0,0,0,0,0,0,0,0,<20,0-40000,Less than 9th grade,6064.079795,5581.094166,-7.964697783,67.061177,0,ONE OR LESS,1,OTHER,0,0,8,Fixed Price 3kW,NONE,
10,11,0,0,0,1,1,1,0,0,<20,55000-75000,Less than 9th grade,10384.71681,8905.434427,-14.24480234,143.103947,3,TWO OR THREE,1,CLUSTER4,1,0,9,Peak/Off-Peak 30kW,NONE,
11,12,0,1,0,0,1,1,0,0,<20,55000-75000,Less than 9th grade,9374.9434,8151.822798,-13.04669852,127.099188,3,TWO OR THREE,1,OTHER,0,1,5,Fixed Price 9kW,NONE,
12,13,0,1,0,1,1,0,0,0,<20,55000-75000,Less than 9th grade,8106.508999,6952.73066,-14.23273988,103.91815,3,TWO OR THREE,1,CLUSTER4,0,0,14,Fixed Price 12kW,NONE,
13,14,0,0,0,0,1,1,0,0,<20,55000-75000,Less than 9th grade,5893.226285,6166.882252,4.64356795,64.52337,2,TWO OR THREE,1,OTHER,1,0,16,Peak/Off-Peak 12kW,NONE,
14,15,0,0,0,0,0,0,0,0,<20,0-40000,Less than 9th grade,9060.261501,10778.50182,18.96457755,121.605683,0,ONE OR LESS,1,CLUSTER3,0,0,3,Peak/Off-Peak 6kW,NONE,
15,16,0,0,0,0,0,0,0,0,<20,0-40000,Less than 9th grade,8085.659033,6655.138589,-17.69206985,103.520304,0,ONE OR LESS,1,CLUSTER4,0,0,12,Peak/Off-Peak 36kW,NONE,
