Country,Polarity,Sentiments,Dimensions
India,0.100,Positive,Covid-19 
India,-0.250,Negative,Covid-19 
India,-0.015,Negative,Covid-19 
India,0.500,Positive,Covid-19 
India,0.000,Neutral,Covid-19 
India,-0.319,Negative,Covid-19 
India,0.250,Positive,Covid-19 
India,-0.250,Negative,Covid-19 
India,0.105,Positive,Covid-19 
India,0.000,Neutral,Covid-19 
India,0.000,Neutral,Covid-19 
India,-1.000,Negative,Covid-19 
India,-0.500,Negative,Covid-19 
India,-0.089,Negative,Covid-19 
India,0.250,Positive,Covid-19 
India,-0.033,Negative,Covid-19 
India,0.000,Neutral,Covid-19 
India,-0.121,Negative,Covid-19 
India,0.550,Positive,Covid-19 
India,0.500,Positive,Covid-19 
India,0.000,Neutral,Covid-19 
India,0.000,Neutral,Covid-19 
India,0.000,Neutral,Covid-19 
India,0.000,Neutral,Covid-19 
India,0.500,Positive,Covid-19 
India,0.000,Neutral,Covid-19 
India,0.000,Neutral,Covid-19 
India,0.550,Positive,Covid-19 
India,0.000,Neutral,Covid-19 
India,0.000,Neutral,Covid-19 
India,-1.000,Negative,Covid-19 
India,0.000,Neutral,Covid-19 
India,-0.200,Negative,Covid-19 
India,0.000,Neutral,Covid-19 
India,0.500,Positive,Covid-19 
India,0.000,Neutral,Covid-19 
India,0.000,Neutral,Covid-19 
India,0.000,Neutral,Covid-19 
India,0.000,Neutral,Covid-19 
India,0.000,Neutral,Covid-19 
India,0.300,Positive,Covid-19 
India,0.550,Positive,Covid-19 
India,-0.583,Negative,Covid-19 
India,0.033,Positive,Covid-19 
India,-0.500,Negative,Covid-19 
India,0.250,Positive,Covid-19 
India,0.000,Neutral,Covid-19 
India,-0.500,Negative,Covid-19 
India,0.500,Positive,Covid-19 
India,-0.250,Negative,Covid-19 
India,0.000,Neutral,Covid-19 
India,0.000,Neutral,Covid-19 
India,-0.217,Negative,Covid-19 
India,0.000,Neutral,Covid-19 
India,-0.583,Negative,Covid-19 
India,0.500,Positive,Covid-19 
India,0.000,Neutral,Covid-19 
India,0.114,Positive,Covid-19 
India,0.000,Neutral,Covid-19 
India,-0.067,Negative,Covid-19 
India,0.000,Neutral,Covid-19 
India,0.000,Neutral,Covid-19 
India,0.000,Neutral,Covid-19 
India,0.000,Neutral,Covid-19 
