DELIVERYDOCUMENT,SDDOCUMENTCATEGORY,DELIVERYDOCUMENTTYPE,CREATEDBYUSER,CREATIONDATE,CREATIONTIME,LASTCHANGEDBYUSER,LASTCHANGEDATE,SHIPPINGPOINT,SALESORGANIZATION,SALESOFFICE,COMPLETEDELIVERYISDEFINED,ORDERCOMBINATIONISALLOWED,DELIVERYPRIORITY,DELIVERYBLOCKREASON,SUPPLIER,DELIVERYDOCUMENTBYSUPPLIER,DELIVERYISINPLANT,RECEIVINGPLANT,WAREHOUSE,ISEXPORTDELIVERY,ORDERID,HEADERGROSSWEIGHT,HEADERNETWEIGHT,HEADERWEIGHTUNIT,HEADERVOLUME,HEADERVOLUMEUNIT,ISDELIVERYFORSINGLEWAREHOUSE,GOODSISSUEORRECEIPTSLIPNUMBER,WAREHOUSEGATE,WAREHOUSESTAGINGAREA,MEANSOFTRANSPORTREFMATERIAL,SPECIALPROCESSINGCODE,EXTERNALIDENTIFICATIONTYPE,DELIVERYVERSION,PICKEDITEMSLOCATION,DOCUMENTDATE,PICKINGDATE,PICKINGTIME,TOTALNUMBEROFPACKAGE,LOADINGPOINT,LOADINGDATE,LOADINGTIME,BILLOFLADING,HANDLINGUNITINSTOCK,SHIPTOPARTY,SHIPPINGTYPE,DELIVERYDATE,DELIVERYTIME,SHIPPINGCONDITION,SHIPMENTBLOCKREASON,TRANSPORTATIONPLANNINGDATE,TRANSPORTATIONPLANNINGTIME,PROPOSEDDELIVERYROUTE,ACTUALDELIVERYROUTE,ROUTESCHEDULE,PLANNEDGOODSISSUEDATE,GOODSISSUETIME,ACTUALGOODSMOVEMENTDATE,ACTUALGOODSMOVEMENTTIME,INCOTERMSCLASSIFICATION,INCOTERMSTRANSFERLOCATION,EXTERNALTRANSPORTSYSTEM,TRANSPORTATIONGROUP,MEANSOFTRANSPORT,MEANSOFTRANSPORTTYPE,UNLOADINGPOINTNAME,PROOFOFDELIVERYDATE,CONFIRMATIONTIME,FACTORYCALENDARBYCUSTOMER,SHIPPINGLOCATIONTIMEZONE,RECEIVINGLOCATIONTIMEZONE,INTERCOMPANYBILLINGDATE,BILLINGDOCUMENTDATE,HEADERBILLINGBLOCKREASON,INTERNALFINANCIALDOCUMENT,PAYMENTGUARANTEEPROCEDURE,DEPRECIATIONPERCENTAGE,NEXTSHIPPINGDATE,CUSTOMERCREDITACCOUNT,CENTRALCREDITCHKTECHERRSTS,RELEASEDCREDITAMOUNT,CONTROLLINGAREACURRENCY,CREDITBLOCKRELEASEDATE,SOLDTOPARTY,CUSTOMERGROUP,SALESDISTRICT,TRANSACTIONCURRENCY,STATISTICSCURRENCY,OVERALLINTCOBILLINGSTATUS,OVERALLSDPROCESSSTATUS,TOTALBLOCKSTATUS,OVERALLDELIVCONFSTATUS,TRANSPORTATIONPLANNINGSTATUS,OVERALLPICKINGCONFSTATUS,OVERALLPICKINGSTATUS,OVERALLPACKINGSTATUS,OVERALLWAREHOUSEACTIVITYSTATUS,DISTRSTATUSBYDECENTRALIZEDWRHS,OVERALLGOODSMOVEMENTSTATUS,OVERALLDELIVRELTDBILLGSTATUS,OVERALLPROOFOFDELIVERYSTATUS,HDRGENERALINCOMPLETIONSTATUS,HEADERDELIVINCOMPLETIONSTATUS,HEADERPICKGINCOMPLETIONSTATUS,HEADERPACKINGINCOMPLETIONSTS,HDRGOODSMVTINCOMPLETIONSTATUS,HEADERBILLGINCOMPLETIONSTATUS,OVRLITMGENERALINCOMPLETIONSTS,OVRLITMPACKINGINCOMPLETIONSTS,OVRLITMPICKINGINCOMPLETIONSTS,OVRLITMDELIVINCOMPLETIONSTS,OVRLITMGDSMVTINCOMPLETIONSTS,TOTALCREDITCHECKSTATUS,FINDOCCREDITCHECKSTATUS,PAYTAUTHSNCREDITCHECKSTS,CENTRALCREDITCHECKSTATUS,EXPRTINSURCREDITCHECKSTATUS,MAXDOCVALUECREDITCHECKSTATUS,PAYMENTTERMCREDITCHECKSTATUS,SHIPPINGGROUPNUMBER,PRICINGDOCUMENT,SALESORGFORINTCOBILLING,DISTRCHNLFORINTCOBILLING,DIVISIONFORINTCOBILLING,INTERCOMPANYBILLINGTYPE,FACTORYCALENDARFORINTCOBILLING,INTERCOMPANYBILLINGCUSTOMER,DELIVERYDOCUMENTCONDITION,TOTALNETAMOUNT,REFERENCEDOCUMENTNUMBER,DELETIONINDICATOR,OVERALLCHMLCMPLNCSTATUS,OVERALLDANGEROUSGOODSSTATUS,OVERALLSAFETYDATASHEETSTATUS,ISCORRECTIONDELIVERY,READYFORWAREHOUSEEXECSTATUS,DELIVADVNCDSHIPGRCVGRLVNCE,EU_DELIVERYARCSTATUS,INTCOEXTACTLTRANSFOFCTRLDTETME,INTCOEXTPLNDTRANSFOFCTRLDTETME,INTCOEXTTRANSFOFCTRLDTETMETMZN,INTCOINTACTLTRANSFOFCTRLDTETME,INTCOINTPLNDTRANSFOFCTRLDTETME,INTCOINTTRANSFOFCTRLDTETMETMZN,OPERATION,LAST_UPDATE_DATE
0180000000,7,EL,WNG6068,2022-07-07,07:39:55.000,,,1710,,,,X,0,,0010000009,,,,,X,,25.000,25.000,KGM,0.000,,,,,,,,,1,,2022-07-07,,00:00:00.000,0,,,00:00:00.000,,,,,2022-07-07,00:00:00.000,,,,00:00:00.000,,,,,00:00:00.000,,00:00:00.000,,,,,,,,,00:00:00.000,,PST,PST,,,,,,0.00,,,,0.00,,,,,,,,,A,,,,,A,,,,A,,,C,C,C,C,C,C,C,C,C,C,C,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,2022-08-30 19:40:52+00:00
0080000005,J,LF,UGP2306,2022-07-21,09:28:15.000,UGP2306,2022-07-21,AU30,AU01,,,,0,,,,,,,,,2.000,2.000,KGM,2.000,MTQ,,,,,,,,2,,2022-07-21,2022-07-25,00:00:00.000,0,,2022-07-28,00:00:00.000,,,0010000002,,2022-07-30,00:00:00.000,01,,2022-07-28,00:00:00.000,,,,2022-07-28,00:00:00.000,,00:00:00.000,EXW,Melb,,,,,,,00:00:00.000,,AUSVIC,AUSACT,,2022-07-29,,,000002,0.00,,,,0.00,AUD,,0010000002,,,AUD,AUD,,A,,,C,,A,,,,A,A,,C,C,C,C,C,C,A,C,C,C,A,,,,,,,,,,,,,IV,,,0000000014,0.00,,,,,,,2,1,,,,,,,,,2022-08-30 19:40:52+00:00
0180000001,7,EL,LXL5589,2022-07-22,02:26:21.000,LXL5589,2022-07-22,1710,,,,X,0,,0010000006,,,,A03,,,1.000,1.000,KGM,0.000,,A,,,,,,,2,,2022-07-22,,00:00:00.000,0,,,00:00:00.000,,,,,2022-07-22,00:00:00.000,,,,00:00:00.000,,,,,00:00:00.000,,00:00:00.000,,,,,,,,,00:00:00.000,,PST,PST,,,,,,0.00,,,,0.00,,,,,,,,,A,,,,,,,,A,A,,,C,C,C,C,C,C,C,C,C,C,C,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,2022-08-30 19:40:52+00:00
0180000003,7,EL,LXL5589,2022-07-22,02:37:08.000,LXL5589,2022-07-22,1710,,,,X,0,,0010000006,,,,A03,,,1.000,1.000,KGM,0.000,,A,,,,,,,1,,2022-07-22,,00:00:00.000,0,,,00:00:00.000,,,,,2022-07-22,00:00:00.000,,,,00:00:00.000,,,,,00:00:00.000,,00:00:00.000,,,,,,,,,00:00:00.000,,PST,PST,,,,,,0.00,,,,0.00,,,,,,,,,A,,,,,,,,A,A,,,C,C,C,C,C,C,C,C,C,C,C,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,2022-08-30 19:40:52+00:00
0180000004,7,EL,LXL5589,2022-07-22,02:42:24.000,,,1710,,,,X,0,,0010000006,,,,A03,,,1.000,1.000,KGM,0.000,,A,,,,,,,1,,2022-07-22,,00:00:00.000,0,,,00:00:00.000,,,,,2022-07-22,00:00:00.000,,,,02:46:40.000,,,,,00:00:00.000,,00:00:00.000,,,,,,,,,00:00:00.000,,PST,PST,,,,,,0.00,,,,0.00,,,,,,,,,A,,,,,,,,B,A,,,C,C,C,C,C,C,C,C,C,C,C,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,2022-08-30 19:40:52+00:00
0180000005,7,EL,LXL5589,2022-07-22,02:53:38.000,,,1710,,,,X,0,,0010000006,,,,A03,,,1.000,1.000,KGM,0.000,,A,,,,,,,1,,2022-07-22,,00:00:00.000,0,,,00:00:00.000,,,,,2022-07-22,00:00:00.000,,,,02:46:40.000,,,,,00:00:00.000,,00:00:00.000,,,,,,,,,00:00:00.000,,PST,PST,,,,,,0.00,,,,0.00,,,,,,,,,A,,,,,,,,B,A,,,C,C,C,C,C,C,C,C,C,C,C,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,2022-08-30 19:40:52+00:00
0180000009,7,EL,THG5787,2022-07-25,09:11:06.000,THG5787,2022-07-25,1710,,,,X,0,,0010000006,,,,,,,1.000,1.000,KGM,0.000,,,,,,,,,2,,2022-07-25,,00:00:00.000,0,,,00:00:00.000,,,,,2022-07-25,00:00:00.000,,,,00:00:00.000,,,,,00:00:00.000,,00:00:00.000,,,,,,,,,00:00:00.000,,PST,PST,,,,,,0.00,,,,0.00,,,,,,,,,A,,,,,A,,,,A,,,C,C,C,C,C,C,C,C,C,C,C,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,2022-08-30 19:40:52+00:00
0180000007,7,EL,LXL5589,2022-07-22,03:11:04.000,LXL5589,2022-07-27,1710,,,,X,0,,0010000006,,X,,A03,,,1.000,1.000,KGM,0.000,,A,,,,,,,4,,2022-07-22,,00:00:00.000,0,,,00:00:00.000,,,,,2022-07-22,00:00:00.000,,,,02:46:40.000,,,,,00:00:00.000,2022-07-21,20:11:37.000,,,,,,,,,00:00:00.000,,PST,PST,,2022-07-21,,,,0.00,,,,0.00,,,,,,,,,C,,,,,,,,C,C,,,C,C,C,C,C,C,C,C,C,C,C,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,2022-08-30 19:40:52+00:00
0180000008,7,EL,LXL5589,2022-07-22,03:30:47.000,LXL5589,2022-07-22,1710,,,,X,0,,0010000006,,X,,A03,,,1.000,1.000,KGM,0.000,,A,,,,,,,4,,2022-07-22,,00:00:00.000,0,,,00:00:00.000,,,,,2022-07-22,00:00:00.000,,,,02:46:40.000,,,,,00:00:00.000,2022-07-21,20:31:27.000,,,,,,,,,00:00:00.000,,PST,PST,,2022-07-21,,,,0.00,,,,0.00,,,,,,,,,C,,,,,,,,C,C,,,C,C,C,C,C,C,C,C,C,C,C,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,2022-08-30 19:40:52+00:00
0080000011,J,ZLF,RUN2179,2022-08-04,12:31:58.000,RUN2179,2022-08-04,AU30,AU01,,,X,0,,,,,,,,,200.000,200.000,KGM,200.000,MTQ,,,,,,,,4,,2022-08-04,2022-08-04,00:00:00.000,0,,2022-08-09,00:00:00.000,,,0010000071,,2022-08-10,00:00:00.000,ZS,,2022-08-09,00:00:00.000,,,,2022-08-10,00:00:00.000,2022-08-04,22:34:13.000,CFR,CFR,,,,,,,00:00:00.000,,AUSVIC,AUSACT,,2022-08-04,,,000002,0.00,,,,0.00,AUD,,0010000071,,,AUD,AUD,,C,,,,,C,,,,C,C,,C,C,C,C,C,C,C,C,C,C,C,,,,,,,,,,,,,ZIV,,,,0.00,,,,,,,,,,,,,,,,,2022-08-30 19:40:52+00:00
